arm,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,w_ic,w_bc,gnorm_r,gnorm_ic,gnorm_bc
sym_w=1,0,250,7.248368e-03,1.096169e-03,5.415435e-03,7.367636e-04,4.327678e-02,1.000000e+00,1.000000e+00,6.630515e-02,2.311026e-01,2.977042e-01
sym_w=1,0,500,4.237284e-03,6.191566e-04,3.314770e-03,3.033575e-04,3.006658e-02,1.000000e+00,1.000000e+00,5.642467e-02,2.465936e-01,2.360280e-01
sym_w=1,0,750,3.618264e-03,7.877882e-04,2.385378e-03,4.450971e-04,2.503688e-02,1.000000e+00,1.000000e+00,2.245985e-01,1.709777e-01,2.742266e-01
sym_w=1,0,1000,2.276466e-03,3.384846e-04,1.782168e-03,1.558131e-04,2.046983e-02,1.000000e+00,1.000000e+00,4.334733e-02,1.699602e-01,1.690793e-01
sym_w=1,0,1250,2.210752e-02,7.374338e-04,8.889426e-03,1.248066e-02,2.089495e-01,1.000000e+00,1.000000e+00,2.110753e-01,1.441746e+00,1.684980e+00
sym_w=1,0,1500,1.032471e-03,1.745077e-04,7.755072e-04,8.245583e-05,1.476317e-02,1.000000e+00,1.000000e+00,3.751418e-02,1.223405e-01,8.589182e-02
sym_w=1,0,1750,5.732972e-04,9.541034e-05,4.052369e-04,7.264996e-05,8.494098e-03,1.000000e+00,1.000000e+00,6.070636e-03,5.870285e-02,5.959058e-02
sym_w=1,0,2000,4.028645e-04,7.221149e-05,2.635070e-04,6.714596e-05,6.993342e-03,1.000000e+00,1.000000e+00,5.165447e-03,3.831257e-02,3.950238e-02
sym_w=1,0,2250,2.968902e-04,5.518280e-05,1.842143e-04,5.749316e-05,5.958989e-03,1.000000e+00,1.000000e+00,7.352699e-03,1.966858e-02,3.437397e-02
sym_w=1,0,2500,2.204273e-04,4.531956e-05,1.231788e-04,5.192893e-05,5.272427e-03,1.000000e+00,1.000000e+00,1.006229e-02,1.313766e-02,1.786388e-02
sym_w=1,0,2750,2.014407e-03,8.934257e-05,8.984357e-04,1.026629e-03,6.553020e-02,1.000000e+00,1.000000e+00,7.292107e-02,4.418785e-01,4.682125e-01
sym_w=1,0,3000,1.442324e-04,3.401148e-05,7.467520e-05,3.554571e-05,4.202991e-03,1.000000e+00,1.000000e+00,8.028034e-03,6.501905e-03,1.106595e-02
sym_w=1,1,0,7.256045e-01,2.589028e-02,6.840348e-01,1.567944e-02,6.803692e-01,1.000000e+00,1.000000e+00,1.390463e+00,5.149986e+00,1.087909e+00
sym_w=1,1,250,7.010109e-03,1.245309e-03,5.344567e-03,4.202332e-04,4.836324e-02,1.000000e+00,1.000000e+00,2.214298e-01,4.189086e-01,1.103715e-01
sym_w=1,1,500,3.951923e-03,5.016114e-04,3.226415e-03,2.238964e-04,3.047379e-02,1.000000e+00,1.000000e+00,6.602637e-02,2.965445e-01,2.076537e-01
sym_w=1,1,750,6.617843e-03,2.193603e-03,2.981714e-03,1.442526e-03,6.711838e-02,1.000000e+00,1.000000e+00,5.683089e-01,3.931346e-01,4.521524e-01
sym_w=1,1,1000,2.330045e-03,3.333270e-04,1.918379e-03,7.833933e-05,2.151529e-02,1.000000e+00,1.000000e+00,4.541515e-02,2.501545e-01,9.855207e-02
