d,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
4,1,4500,2.468294e-04,1.086502e-04,7.288894e-05,6.529030e-05,4.317946e-02,1.876841e-04,338.6911
4,1,4750,2.257469e-04,1.002502e-04,6.627329e-05,5.922340e-05,4.156684e-02,1.845473e-04,357.2992
4,1,5000,2.042545e-04,9.198740e-05,5.906521e-05,5.320191e-05,3.973354e-02,1.776748e-04,373.9507
4,2,0,2.030340e-01,1.044962e-03,1.704578e-01,3.153129e-02,1.762472e+00,2.087131e-03,0.0616
4,2,250,5.064445e-02,1.316554e-03,3.986695e-02,9.460950e-03,6.527182e-01,2.957709e-03,17.7784
4,2,500,1.428820e-02,1.353259e-03,7.948452e-03,4.986490e-03,3.005078e-01,1.222521e-03,38.0290
4,2,750,7.591259e-03,1.413558e-03,3.619901e-03,2.557799e-03,2.131650e-01,7.794074e-04,55.9527
4,2,1000,4.256799e-03,1.021401e-03,1.789605e-03,1.445793e-03,1.532319e-01,5.052134e-04,76.5575
4,2,1250,2.778138e-03,8.247255e-04,1.065565e-03,8.878477e-04,1.214529e-01,3.916585e-04,95.0674
4,2,1500,1.868064e-03,6.487630e-04,6.435349e-04,5.757661e-04,9.823340e-02,3.203127e-04,113.4522
4,2,1750,1.259872e-03,4.774768e-04,3.904843e-04,3.919106e-04,8.332492e-02,2.589513e-04,132.0549
4,2,2000,9.736054e-04,3.847177e-04,2.945368e-04,2.943509e-04,7.258317e-02,2.441421e-04,150.8705
4,2,2250,8.070749e-04,3.218349e-04,2.481859e-04,2.370541e-04,6.625612e-02,2.248661e-04,171.2150
4,2,2500,6.052152e-04,2.411097e-04,1.858419e-04,1.782637e-04,5.868019e-02,1.990718e-04,189.2334
4,2,2750,4.986964e-04,2.011602e-04,1.529716e-04,1.445645e-04,5.382083e-02,1.851300e-04,208.1460
4,2,3000,4.332575e-04,1.769496e-04,1.323224e-04,1.239855e-04,5.050320e-02,1.746653e-04,227.1236
4,2,3250,3.849133e-04,1.606648e-04,1.165515e-04,1.076971e-04,4.780238e-02,1.665042e-04,247.0991
4,2,3500,4.642584e-04,1.714470e-04,1.534077e-04,1.394037e-04,1.155728e-01,1.501458e-04,266.8946
4,2,3750,2.913408e-04,1.204691e-04,8.645245e-05,8.441924e-05,4.507662e-02,1.510821e-04,284.8966
4,2,4000,2.608497e-04,1.139983e-04,7.545731e-05,7.139401e-05,4.033525e-02,1.448344e-04,305.2301
4,2,4250,2.481368e-04,1.089114e-04,7.215970e-05,6.706580e-05,3.862768e-02,1.394869e-04,324.0734
4,2,4500,2.157237e-04,9.675640e-05,6.012792e-05,5.883936e-05,3.694212e-02,1.354385e-04,343.3006
4,2,4750,2.546037e-04,9.751637e-05,7.859996e-05,7.848736e-05,4.613789e-02,1.245472e-04,364.1921
4,2,5000,6.128444e-04,1.675614e-04,2.894638e-04,1.558192e-04,1.326775e-01,1.572210e-04,384.3355
8,0,0,3.223253e-01,3.158382e-02,9.632053e-02,1.944210e-01,7.869438e+00,8.348275e-03,0.1881
8,0,250,2.721465e-03,3.202086e-05,2.523550e-03,1.658941e-04,9.368430e-01,9.541376e-03,33.6380
8,0,500,2.649235e-03,3.516595e-05,2.453853e-03,1.602159e-04,9.265867e-01,9.529507e-03,67.8873
8,0,750,2.557385e-03,3.487744e-05,2.362099e-03,1.604082e-04,9.116994e-01,9.503382e-03,101.5998
8,0,1000,2.407886e-03,3.178406e-05,2.207255e-03,1.688474e-04,8.856491e-01,9.445533e-03,137.5706
8,0,1250,2.202035e-03,2.769314e-05,1.970755e-03,2.035871e-04,8.447760e-01,9.317582e-03,171.4553
8,0,1500,2.074209e-03,2.793398e-05,1.815032e-03,2.312426e-04,8.202072e-01,9.187139e-03,203.5050
8,0,1750,1.876223e-03,2.396825e-05,1.599118e-03,2.531367e-04,7.828742e-01,9.032645e-03,234.3753
8,0,2000,1.756483e-03,2.359483e-05,1.456856e-03,2.760320e-04,7.578932e-01,8.786690e-03,263.6970
8,0,2250,1.644825e-03,2.314363e-05,1.302182e-03,3.194991e-04,7.401172e-01,8.496337e-03,297.2693
8,0,2500,1.564840e-03,2.403891e-05,1.224548e-03,3.162526e-04,7.366221e-01,8.342229e-03,327.0034
