arm,d,seed,n_interior,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
tilted,16,1,4000,1600,4.047561e-03,6.732211e-05,3.541797e-03,4.384409e-04,1.274869e+01,3.157206e-02,430.9180
tilted,16,1,4000,1800,3.624238e-03,6.967592e-05,3.159676e-03,3.948857e-04,1.363060e+01,3.390432e-02,479.8897
tilted,16,1,4000,2000,3.221231e-03,6.549322e-05,2.808283e-03,3.474554e-04,1.453928e+01,3.611493e-02,527.8555
rad,8,0,4000,0,3.223253e-01,3.158382e-02,9.632053e-02,1.944210e-01,7.869438e+00,8.348275e-03,0.1985
rad,8,0,4000,200,2.737203e-03,3.157575e-05,2.537903e-03,1.677243e-04,9.386700e-01,9.542078e-03,27.8106
rad,8,0,4000,400,2.678250e-03,3.405672e-05,2.482829e-03,1.613645e-04,9.310200e-01,9.536003e-03,54.4936
rad,8,0,4000,600,2.621203e-03,3.417478e-05,2.424632e-03,1.623965e-04,9.210237e-01,9.521673e-03,82.3765
rad,8,0,4000,800,2.537547e-03,3.274600e-05,2.341189e-03,1.636124e-04,9.071817e-01,9.495963e-03,109.9948
rad,8,0,4000,1000,2.411029e-03,2.887753e-05,2.210724e-03,1.714273e-04,8.852568e-01,9.445399e-03,137.1697
rad,8,0,4000,1200,2.245304e-03,2.648293e-05,2.022178e-03,1.966437e-04,8.528890e-01,9.348763e-03,163.1503
rad,8,0,4000,1400,2.133510e-03,2.615563e-05,1.885731e-03,2.216227e-04,8.310758e-01,9.250473e-03,190.4784
rad,8,0,4000,1600,1.984492e-03,2.385302e-05,1.718139e-03,2.424998e-04,7.992349e-01,9.106987e-03,218.0327
rad,8,0,4000,1800,1.886674e-03,2.517888e-05,1.622972e-03,2.385232e-04,7.854251e-01,9.021781e-03,245.2571
rad,8,0,4000,2000,1.753308e-03,2.131443e-05,1.448723e-03,2.832709e-04,7.543035e-01,8.770444e-03,272.3399
rad,8,1,4000,0,4.744204e-02,3.078447e-04,2.673345e-02,2.040075e-02,9.488576e+00,6.225036e-03,0.1793
rad,8,1,4000,200,4.282981e-03,3.987685e-05,4.064647e-03,1.784571e-04,9.323935e-01,9.539652e-03,26.3278
rad,8,1,4000,400,4.197950e-03,3.993384e-05,3.985444e-03,1.725722e-04,9.244897e-01,9.528080e-03,52.3409
rad,8,1,4000,600,4.058079e-03,4.162175e-05,3.843754e-03,1.727034e-04,9.090494e-01,9.488447e-03,79.5659
rad,8,1,4000,800,3.800728e-03,3.881918e-05,3.563067e-03,1.988415e-04,8.777734e-01,9.350053e-03,106.7650
rad,8,1,4000,1000,3.425055e-03,3.240155e-05,3.130999e-03,2.616540e-04,8.293638e-01,9.064666e-03,134.1504
rad,8,1,4000,1200,3.156195e-03,2.776200e-05,2.788460e-03,3.399738e-04,7.936002e-01,8.750193e-03,160.3401
rad,8,1,4000,1400,2.997942e-03,3.190213e-05,2.606030e-03,3.600093e-04,7.773597e-01,8.543895e-03,187.8833
rad,8,1,4000,1600,2.784500e-03,3.071899e-05,2.358582e-03,3.951983e-04,7.491589e-01,8.230667e-03,215.0589
rad,8,1,4000,1800,2.717207e-03,2.970933e-05,2.290096e-03,3.974011e-04,7.503254e-01,8.059137e-03,242.2703
rad,8,1,4000,2000,2.506934e-03,2.932154e-05,2.090407e-03,3.872050e-04,7.275060e-01,7.763333e-03,269.2451
uniform,4,0,4000,0,1.823413e-01,5.924400e-02,7.223568e-02,5.086165e-02,1.958086e+00,3.439119e-03,0.1119
uniform,4,0,4000,200,4.478906e-02,9.295332e-04,3.738498e-02,6.474542e-03,7.252083e-01,3.285040e-03,15.7498
uniform,4,0,4000,400,1.946067e-02,7.722632e-04,1.222805e-02,6.460358e-03,4.296354e-01,2.026209e-03,31.4371
uniform,4,0,4000,600,1.269939e-02,1.019181e-03,7.232169e-03,4.448045e-03,3.319332e-01,1.452975e-03,46.9520
uniform,4,0,4000,800,7.597368e-03,1.037398e-03,3.893910e-03,2.666061e-03,2.530658e-01,1.058318e-03,62.6891
uniform,4,0,4000,1000,4.833964e-03,9.367152e-04,2.188124e-03,1.709125e-03,1.954631e-01,8.117505e-04,78.3409
uniform,4,0,4000,1200,3.302976e-03,8.038383e-04,1.379066e-03,1.120071e-03,1.627425e-01,7.000066e-04,93.9373
uniform,4,0,4000,1400,2.511374e-03,6.807565e-04,1.018507e-03,8.121106e-04,1.423862e-01,6.012715e-04,109.4431
uniform,4,0,4000,1600,2.272627e-03,6.520784e-04,9.141417e-04,7.064071e-04,1.370190e-01,5.598363e-04,124.9968
