d,seed,step,loss,loss_r,loss_tc,loss_bc,rel_sd,stderr_sd,rel_rms,train_seconds
2,2,500,1.371695e-01,8.494645e-02,1.322095e-02,3.900211e-02,5.521539e-01,1.032923e-03,3.050195e-01,24.3469
2,2,750,1.624218e-02,9.864629e-03,3.431941e-03,2.945614e-03,1.190649e-01,1.904182e-04,6.577354e-02,35.1014
2,2,1000,1.006639e-02,6.143290e-03,2.216889e-03,1.706216e-03,8.581876e-02,1.556353e-04,4.740780e-02,43.5979
2,2,1250,9.881957e-03,6.276354e-03,2.069627e-03,1.535976e-03,8.594628e-02,1.375996e-04,4.747824e-02,52.7004
2,2,1500,6.402505e-03,4.084257e-03,1.354549e-03,9.636991e-04,6.325294e-02,1.313285e-04,3.494204e-02,62.2435
2,2,1750,7.108511e-03,4.698073e-03,1.381221e-03,1.029217e-03,6.289261e-02,1.829540e-04,3.474299e-02,71.9745
2,2,2000,4.053375e-03,2.620874e-03,8.537785e-04,5.787220e-04,4.952410e-02,1.089565e-04,2.735799e-02,80.7875
2,2,2250,3.100567e-03,1.998388e-03,6.613916e-04,4.407876e-04,4.320026e-02,9.473701e-05,2.386458e-02,89.2995
2,2,2500,2.433351e-03,1.551652e-03,5.345983e-04,3.471002e-04,3.796468e-02,7.567918e-05,2.097236e-02,99.5413
2,2,2750,1.935812e-03,1.259840e-03,4.144344e-04,2.615380e-04,3.206112e-02,7.300505e-05,1.771113e-02,111.9886
2,2,3000,1.555956e-03,9.828900e-04,3.584578e-04,2.146079e-04,2.898921e-02,5.420547e-05,1.601415e-02,123.7159
2,2,3250,8.236089e-03,6.189904e-03,9.231407e-04,1.123044e-03,5.134242e-02,1.071373e-04,2.836246e-02,132.5581
2,2,3500,1.538599e-03,1.029693e-03,2.575894e-04,2.513162e-04,2.779857e-02,7.415858e-05,1.535642e-02,140.7824
2,2,3750,1.608808e-02,9.950086e-03,4.119021e-03,2.018975e-03,9.026414e-02,1.137621e-04,4.986351e-02,149.7079
2,2,4000,9.203204e-04,5.978743e-04,1.965337e-04,1.259123e-04,1.799103e-02,5.770779e-05,9.938563e-03,160.2936
2,2,4250,7.383103e-03,4.388946e-03,9.894622e-04,2.004696e-03,7.280266e-02,1.529720e-04,4.021748e-02,172.1453
2,2,4500,4.832376e-04,3.285737e-04,1.004878e-04,5.417610e-05,1.149227e-02,3.690911e-05,6.348531e-03,182.5022
2,2,4750,5.474687e-04,3.976459e-04,8.906001e-05,6.076282e-05,1.041483e-02,3.317624e-05,5.753335e-03,198.8909
2,2,5000,3.212810e-03,2.751234e-03,2.596871e-04,2.018895e-04,3.783736e-02,8.506448e-05,2.090202e-02,210.8994
4,0,0,1.054007e+01,8.078586e+00,2.493878e-01,2.212099e+00,2.388009e+00,3.838870e-03,1.068087e+00,0.1138
4,0,250,8.292526e-01,4.369662e-01,1.382644e-01,2.540220e-01,1.253419e+00,2.464147e-03,5.606179e-01,19.3386
4,0,500,4.751452e-01,2.357001e-01,9.429861e-02,1.451465e-01,9.873118e-01,2.053708e-03,4.415959e-01,51.5937
4,0,750,2.111184e-01,1.118532e-01,3.338213e-02,6.588305e-02,5.053250e-01,1.185015e-03,2.260172e-01,103.6641
4,0,1000,1.158125e-01,6.612312e-02,1.454149e-02,3.514793e-02,4.275879e-01,8.536084e-04,1.912477e-01,156.2021
4,0,1250,8.461166e-02,4.390858e-02,1.255919e-02,2.814389e-02,3.436316e-01,8.025727e-04,1.536965e-01,175.8290
