d,target,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
4,1e-02,1,3500,3.835349e-04,1.663925e-04,1.138601e-04,1.032823e-04,5.158033e-02,2.129734e-04,130.5318
4,1e-02,1,3750,3.419014e-04,1.476459e-04,1.020957e-04,9.215985e-05,4.943455e-02,2.087306e-04,139.8276
4,1e-02,1,4000,3.022412e-04,1.310372e-04,9.020248e-05,8.100148e-05,4.703045e-02,1.992431e-04,149.0909
4,1e-02,1,4250,2.726563e-04,1.186731e-04,8.119177e-05,7.279140e-05,4.511851e-02,1.953540e-04,158.4354
4,1e-02,1,4500,2.468294e-04,1.086502e-04,7.288894e-05,6.529030e-05,4.317946e-02,1.876841e-04,167.6629
4,1e-02,1,4750,2.257469e-04,1.002502e-04,6.627329e-05,5.922340e-05,4.156684e-02,1.845473e-04,176.9348
4,1e-02,1,5000,2.042545e-04,9.198740e-05,5.906521e-05,5.320191e-05,3.973354e-02,1.776748e-04,186.5438
4,1e-02,1,5250,1.868907e-04,8.536885e-05,5.329324e-05,4.822865e-05,3.819420e-02,1.743882e-04,195.7671
4,1e-02,1,5500,5.051448e-04,9.317334e-05,1.909225e-04,2.210490e-04,7.867526e-02,1.904175e-04,205.7892
4,1e-02,1,5750,1.942589e-04,8.191980e-05,5.997819e-05,5.236094e-05,3.939250e-02,1.619548e-04,215.9268
4,1e-02,1,6000,1.560106e-04,7.334947e-05,4.353063e-05,3.913051e-05,3.479089e-02,1.635364e-04,226.4406
4,1e-02,1,6250,1.384503e-04,6.737604e-05,3.682040e-05,3.425384e-05,3.333927e-02,1.609385e-04,236.8489
4,1e-02,1,6500,1.290376e-04,6.397563e-05,3.347972e-05,3.158222e-05,3.234816e-02,1.589617e-04,247.1542
4,1e-02,1,6750,1.606538e-04,6.305308e-05,5.273925e-05,4.486147e-05,3.683716e-02,1.388543e-04,257.5274
4,1e-02,1,7000,1.164273e-04,5.896731e-05,2.950018e-05,2.795978e-05,3.080802e-02,1.549719e-04,267.8495
4,1e-02,1,7250,1.067386e-04,5.515628e-05,2.601234e-05,2.556995e-05,2.988403e-02,1.527009e-04,278.1476
4,1e-02,1,7500,1.152489e-04,5.495441e-05,3.033323e-05,2.996126e-05,3.016586e-02,1.500673e-04,288.5124
4,1e-02,1,7750,9.613243e-05,5.105180e-05,2.228382e-05,2.279681e-05,2.840627e-02,1.477529e-04,298.8899
4,1e-02,1,8000,3.560427e-04,6.847661e-05,1.447246e-04,1.428415e-04,4.341695e-02,1.284873e-04,309.2587
4,1e-02,1,8250,1.009618e-04,4.716947e-05,2.622230e-05,2.756998e-05,2.807467e-02,1.280027e-04,319.6240
4,1e-02,1,8500,8.329224e-05,4.487811e-05,1.840217e-05,2.001196e-05,2.730236e-02,1.393068e-04,329.9052
4,1e-02,1,8750,1.193855e-03,7.847950e-05,4.310225e-04,6.843534e-04,5.016924e-02,1.243953e-04,340.3564
4,1e-02,1,9000,7.432083e-05,4.094601e-05,1.582246e-05,1.755236e-05,2.583608e-02,1.357677e-04,351.0491
4,1e-02,1,9250,4.583744e-04,5.538433e-05,2.006927e-04,2.022974e-04,8.741369e-02,1.869700e-04,361.4613
4,1e-02,1,9500,7.140447e-05,3.811964e-05,1.572962e-05,1.755521e-05,2.558579e-02,1.253654e-04,371.8647
4,1e-02,1,9750,6.470762e-05,3.646694e-05,1.297887e-05,1.526182e-05,2.443387e-02,1.290198e-04,382.1700
4,1e-02,1,10000,6.620184e-04,4.048540e-05,3.508606e-04,2.706723e-04,8.222868e-02,1.632373e-04,392.4167
4,1e-02,1,10250,7.090918e-05,3.561166e-05,1.579561e-05,1.950191e-05,2.529899e-02,1.273507e-04,402.7037
4,1e-02,1,10500,5.826571e-05,3.322646e-05,1.121850e-05,1.382074e-05,2.398570e-02,1.262238e-04,413.1539
4,1e-02,1,10750,8.339976e-05,3.958920e-05,1.862188e-05,2.518868e-05,2.748178e-02,1.180237e-04,423.6181
4,1e-02,1,11000,5.640526e-05,3.138246e-05,1.142797e-05,1.359482e-05,2.391159e-02,1.187098e-04,433.9274
4,1e-02,1,11250,5.154781e-05,2.974681e-05,9.586432e-06,1.221457e-05,2.259120e-02,1.189474e-04,444.2109
4,1e-02,1,11500,5.116004e-05,2.929961e-05,9.509926e-06,1.235051e-05,2.253429e-02,1.173152e-04,454.5636
