model,k,step,loss,rel_l2
plain_3x,32,14600,6.934918e-02,3.975889e-01
plain_3x,32,14800,6.899000e-02,4.023743e-01
plain_3x,32,15000,6.676122e-02,3.932634e-01
plain_3x,32,15200,6.579851e-02,3.917468e-01
plain_3x,32,15400,6.490480e-02,3.904146e-01
plain_3x,32,15600,6.382887e-02,3.898440e-01
plain_3x,32,15800,6.319346e-02,3.896800e-01
plain_3x,32,16000,6.273212e-02,3.889919e-01
plain_3x,32,16200,6.200291e-02,3.901661e-01
plain_3x,32,16400,6.154095e-02,3.897194e-01
plain_3x,32,16600,6.188682e-02,3.932876e-01
plain_3x,32,16800,6.055787e-02,3.897323e-01
plain_3x,32,17000,6.008765e-02,3.881905e-01
plain_3x,32,17200,6.532826e-02,4.110306e-01
plain_3x,32,17400,5.895041e-02,3.873022e-01
plain_3x,32,17600,5.834861e-02,3.849522e-01
plain_3x,32,17800,5.765039e-02,3.834821e-01
plain_3x,32,18000,5.691296e-02,3.804607e-01
plain_3x,32,18200,5.609978e-02,3.765794e-01
plain_3x,32,18400,5.537653e-02,3.720629e-01
plain_3x,32,18600,5.880634e-02,3.702092e-01
plain_3x,32,18800,5.260005e-02,3.573317e-01
plain_3x,32,19000,5.025481e-02,3.430062e-01
plain_3x,32,19200,4.716035e-02,3.236198e-01
plain_3x,32,19400,4.419619e-02,3.082014e-01
plain_3x,32,19600,4.157641e-02,2.969286e-01
plain_3x,32,19800,3.907728e-02,2.880871e-01
plain_3x,32,20000,3.664520e-02,2.808167e-01
plain_3x,32,20200,3.466608e-02,2.731853e-01
plain_3x,32,20400,3.221161e-02,2.688641e-01
plain_3x,32,20600,3.080111e-02,2.659074e-01
plain_3x,32,20800,2.983691e-02,2.636353e-01
plain_3x,32,21000,2.869904e-02,2.631004e-01
plain_3x,32,21200,2.808050e-02,2.620383e-01
plain_3x,32,21400,2.809882e-02,2.615333e-01
plain_3x,32,21600,2.675393e-02,2.613061e-01
plain_3x,32,21800,2.914259e-02,2.823918e-01
plain_3x,32,22000,2.921095e-02,2.522313e-01
plain_3x,32,22200,2.425323e-02,2.540324e-01
plain_3x,32,22400,2.334604e-02,2.506464e-01
plain_3x,32,22600,2.241371e-02,2.464809e-01
plain_3x,32,22800,2.149949e-02,2.419719e-01
plain_3x,32,23000,2.068109e-02,2.379203e-01
plain_3x,32,23200,2.580187e-02,2.314444e-01
plain_3x,32,23400,1.917856e-02,2.296613e-01
plain_3x,32,23600,1.857396e-02,2.260980e-01
plain_3x,32,23800,1.800882e-02,2.219250e-01
plain_3x,32,24000,2.337390e-02,2.622294e-01
fourier,32,0,1.203692e+01,1.122727e+00
fourier,32,200,3.760910e-01,9.668189e-01
fourier,32,400,1.920052e-01,8.049139e-01
fourier,32,600,3.970388e-02,4.204504e-01
fourier,32,800,1.045798e-02,2.375728e-01
fourier,32,1000,4.297997e-03,1.848609e-01
fourier,32,1200,3.170098e-03,1.588257e-01
fourier,32,1400,2.116587e-03,1.464114e-01
fourier,32,1600,3.408118e-03,1.362204e-01
fourier,32,1800,9.984260e-04,1.277839e-01
fourier,32,2000,8.492363e-04,1.236830e-01
fourier,32,2200,7.190215e-04,1.186591e-01
