ic,seed,step,loss,loss_r,loss_ic,loss_vel,loss_bc,rel_l2,energy_ratio,train_seconds
pluck,1,4750,1.677363e-03,9.516135e-05,6.302239e-04,4.004682e-05,9.119306e-04,1.483852e-01,0.747459,191.9850
pluck,1,5000,1.237771e-02,8.603549e-03,7.684578e-04,7.774603e-04,2.228243e-03,2.048620e-01,0.699785,198.6919
pluck,2,0,5.198945e-01,1.584289e-03,4.172007e-01,5.616577e-02,4.494381e-02,1.055122e+00,0.010700,0.0272
pluck,2,250,3.186157e-02,4.905364e-03,7.215301e-03,2.712090e-03,1.702881e-02,6.729321e-01,0.393627,6.8118
pluck,2,500,2.138239e-02,5.742824e-04,3.883022e-03,1.158644e-04,1.680923e-02,5.949864e-01,0.461062,13.4529
pluck,2,750,2.060566e-02,4.196899e-04,3.671468e-03,7.590835e-05,1.643860e-02,5.853946e-01,0.466726,19.9824
pluck,2,1000,1.981876e-02,5.434358e-04,3.554448e-03,1.360533e-04,1.558483e-02,5.686306e-01,0.470125,26.5188
pluck,2,1250,1.916610e-02,2.753745e-03,3.549393e-03,1.018696e-04,1.276109e-02,5.348903e-01,0.476271,33.0828
pluck,2,1500,1.450528e-02,1.627250e-03,4.375345e-03,3.550661e-04,8.147623e-03,4.713188e-01,0.499847,39.6627
pluck,2,1750,1.216949e-02,4.661658e-03,1.575161e-03,1.972179e-04,5.735453e-03,3.359252e-01,0.583727,46.3641
pluck,2,2000,5.632291e-03,5.913061e-04,1.930068e-03,5.693267e-05,3.053984e-03,2.473956e-01,0.663576,53.0175
pluck,2,2250,4.597950e-03,3.879820e-04,1.255817e-03,1.771067e-04,2.777044e-03,2.060311e-01,0.705898,59.6561
pluck,2,2500,3.274022e-03,2.013774e-04,1.226509e-03,2.475270e-05,1.821382e-03,1.618417e-01,0.744167,66.3943
pluck,2,2750,7.547789e-03,3.109295e-03,1.333169e-03,7.559722e-05,3.029729e-03,2.438163e-01,0.678489,73.0999
pluck,2,3000,3.898425e-03,6.883770e-04,1.265328e-03,5.291544e-05,1.891805e-03,1.644761e-01,0.714914,79.7097
pluck,2,3250,4.123829e-03,1.098034e-03,1.279165e-03,8.697193e-05,1.659659e-03,1.716149e-01,0.724478,86.1869
pluck,2,3500,2.704471e-03,1.060082e-04,1.168486e-03,6.137793e-05,1.368599e-03,1.479955e-01,0.750282,92.8147
pluck,2,3750,2.948906e-03,5.642171e-04,1.127484e-03,2.921349e-05,1.227992e-03,1.387311e-01,0.771258,99.3093
pluck,2,4000,2.687392e-03,1.867265e-04,1.151639e-03,7.422655e-05,1.274800e-03,1.479531e-01,0.750496,105.8804
pluck,2,4250,4.928853e-03,2.608345e-04,1.220830e-03,1.458501e-03,1.988688e-03,1.614349e-01,0.746518,112.5846
pluck,2,4500,2.270290e-03,7.446437e-05,1.088802e-03,3.999568e-05,1.067028e-03,1.350575e-01,0.771416,119.1859
pluck,2,4750,3.228045e-03,6.686758e-04,1.167628e-03,6.199630e-05,1.329745e-03,1.399970e-01,0.755792,125.6767
pluck,2,5000,4.048197e-03,1.379630e-03,1.399716e-03,6.971137e-05,1.199140e-03,1.582445e-01,0.747501,132.3500
