model,step,k,coeff
plain,8900,1,0.924882
plain,8900,2,0.989432
plain,8900,4,0.991118
plain,8900,8,0.999123
plain,8900,16,1.005636
plain,8900,32,0.950292
plain,9000,1,0.982952
plain,9000,2,0.962253
plain,9000,4,0.983025
plain,9000,8,0.996051
plain,9000,16,1.006477
plain,9000,32,0.951005
plain,9100,1,1.055314
plain,9100,2,0.944160
plain,9100,4,0.974897
plain,9100,8,0.991109
plain,9100,16,1.004546
plain,9100,32,0.950320
plain,9200,1,1.037922
plain,9200,2,0.938861
plain,9200,4,0.971412
plain,9200,8,0.990498
plain,9200,16,1.004694
plain,9200,32,0.950759
plain,9300,1,0.905719
plain,9300,2,1.002076
plain,9300,4,0.998680
plain,9300,8,1.002020
plain,9300,16,1.008791
plain,9300,32,0.954014
plain,9400,1,0.949471
plain,9400,2,0.981772
plain,9400,4,0.991175
plain,9400,8,0.999095
plain,9400,16,1.008496
plain,9400,32,0.954126
plain,9500,1,0.858563
plain,9500,2,1.012063
plain,9500,4,1.006135
plain,9500,8,1.006512
plain,9500,16,1.012001
plain,9500,32,0.955641
plain,9600,1,0.884414
plain,9600,2,1.004704
plain,9600,4,1.002666
plain,9600,8,1.005152
plain,9600,16,1.010755
plain,9600,32,0.956599
plain,9700,1,0.996414
plain,9700,2,0.965411
plain,9700,4,0.983863
plain,9700,8,0.995473
plain,9700,16,1.005941
plain,9700,32,0.956024
plain,9800,1,0.943685
plain,9800,2,0.989392
plain,9800,4,0.995255
plain,9800,8,1.000515
plain,9800,16,1.007737
plain,9800,32,0.959246
plain,9900,1,0.896281
plain,9900,2,1.002018
plain,9900,4,1.000761
plain,9900,8,1.003435
plain,9900,16,1.008637
plain,9900,32,0.961745
plain,10000,1,0.835380
plain,10000,2,1.028611
plain,10000,4,1.014565
plain,10000,8,1.009189
plain,10000,16,1.010221
plain,10000,32,0.967148
fourier,0,1,0.255916
fourier,0,2,0.275394
fourier,0,4,0.213270
fourier,0,8,0.116351
fourier,0,16,0.064056
fourier,0,32,0.006194
fourier,100,1,1.069828
fourier,100,2,0.919249
fourier,100,4,0.961127
fourier,100,8,0.983263
fourier,100,16,0.992746
fourier,100,32,0.978970
fourier,200,1,1.015189
fourier,200,2,0.968817
fourier,200,4,0.984380
fourier,200,8,0.992351
fourier,200,16,0.995954
fourier,200,32,0.996781
fourier,300,1,1.005054
fourier,300,2,0.979494
fourier,300,4,0.989724
fourier,300,8,0.994955
fourier,300,16,0.997276
fourier,300,32,0.998082
fourier,400,1,1.000759
fourier,400,2,0.985140
fourier,400,4,0.992551
fourier,400,8,0.996328
fourier,400,16,0.998021
fourier,400,32,0.998647
fourier,500,1,0.999151
fourier,500,2,0.988224
fourier,500,4,0.994097
fourier,500,8,0.997080
fourier,500,16,0.998443
fourier,500,32,0.998966
fourier,600,1,0.998894
fourier,600,2,0.990246
fourier,600,4,0.995112
fourier,600,8,0.997575
fourier,600,16,0.998723
fourier,600,32,0.999177
fourier,700,1,0.999198
fourier,700,2,0.991791
fourier,700,4,0.995887
fourier,700,8,0.997956
fourier,700,16,0.998935
fourier,700,32,0.999332
fourier,800,1,0.999661
fourier,800,2,0.993055
fourier,800,4,0.996521
fourier,800,8,0.998270
fourier,800,16,0.999106
fourier,800,32,0.999452
fourier,900,1,1.000118
fourier,900,2,0.994100
fourier,900,4,0.997045
fourier,900,8,0.998529
fourier,900,16,0.999245
fourier,900,32,0.999546
fourier,1000,1,1.000512
fourier,1000,2,0.994954
fourier,1000,4,0.997474
fourier,1000,8,0.998742
fourier,1000,16,0.999358
fourier,1000,32,0.999619
fourier,1100,1,1.000829
fourier,1100,2,0.995642
fourier,1100,4,0.997818
fourier,1100,8,0.998913
fourier,1100,16,0.999447
fourier,1100,32,0.999676
fourier,1200,1,1.001070
fourier,1200,2,0.996189
fourier,1200,4,0.998093
fourier,1200,8,0.999049
fourier,1200,16,0.999517
fourier,1200,32,0.999720
fourier,1300,1,1.001242
fourier,1300,2,0.996624
fourier,1300,4,0.998311
fourier,1300,8,0.999158
fourier,1300,16,0.999573
fourier,1300,32,0.999754
fourier,1400,1,1.001355
fourier,1400,2,0.996970
fourier,1400,4,0.998485
fourier,1400,8,0.999244
fourier,1400,16,0.999617
fourier,1400,32,0.999780
fourier,1500,1,1.001422
fourier,1500,2,0.997250
fourier,1500,4,0.998625
fourier,1500,8,0.999314
fourier,1500,16,0.999653
fourier,1500,32,0.999802
fourier,1600,1,1.001452
fourier,1600,2,0.997482
fourier,1600,4,0.998741
fourier,1600,8,0.999372
fourier,1600,16,0.999682
fourier,1600,32,0.999819
fourier,1700,1,1.001460
